number,name,symbol,mass,group,period,radius,red,green,blue,valence,filledShell,covalentRadius,vdWRadius,covalent,paulingEN,seHams,scovalent,eHams
0,X,X,0.00,0,0,0.1,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,,,
1,Hydrogen,H,1.00794,1,1,,1.0,1.0,1.0,1,2,0.23,1.2,1,2.2,MNDO AM1 PM3 MNDOD PDDG-PM3 MNDONMR,,
2,Helium,He,4.0026,18,1,,0.0,1.0,1.0,2,2,1.5,1.4,0,0.0,,,
3,Lithium,Li,6.941,1,2,,0.0,1.0,1.0,1,8,0.68,1.82,0,0.98,MNDO AM1 MNDOD MNDONMR,,
4,Beryllium,Be,9.012182,2,2,,0.0,1.0,1.0,2,8,0.35,2.0,0,1.57,MNDO AM1 PM3 MNDOD PDDG-PM3 MNDONMR,,
5,Boron,B,10.811,13,2,,0.0,1.0,1.0,3,8,0.83,2.0,3,2.04,MNDO AM1 MNDOD MNDONMR,,
6,Carbon,C,12.011,14,2,,0.0,0.545,0.0,4,8,0.68,1.7,4,2.55,MNDO AM1 PM3 MNDOD PDDG-PM3 MNDONMR,,
7,Nitrogen,N,14.00674,15,2,,0.52,0.44,1.0,5,8,0.68,1.55,3,3.04,MNDO AM1 PM3 MNDOD PDDG-PM3 MNDONMR,,
8,Oxygen,O,15.9994,16,2,,1.0,0.0,0.0,6,8,0.68,1.52,2,3.44,MNDO AM1 PM3 MNDOD PDDG-PM3 MNDONMR,,
9,Fluorine,F,18.9984032,17,2,,0.0,1.0,1.0,7,8,0.64,1.47,1,3.98,MNDO AM1 PM3 MNDOD PDDG-PM3,,
10,Neon,Ne,20.1797,18,2,,0.0,1.0,1.0,8,8,1.5,1.54,0,0.0,,,
11,Sodium,Na,22.989768,1,3,,0.0,1.0,1.0,1,8,0.97,2.27,0,0.93,MNDO AM1 PM3 MNDOD,,
12,Magnesium,Mg,24.305,2,3,,0.0,1.0,1.0,2,8,1.1,1.73,0,1.31,PM3 MNDOD,,
13,Aluminum,Al,26.981539,13,3,,0.0,1.0,1.0,3,8,1.35,2.0,0,1.61,MNDO AM1 PM3 MNDOD,,
14,Silicon,Si,28.0855,14,3,,0.0,1.0,1.0,4,8,1.2,2.1,4,1.90,MNDO AM1 PM3 MNDOD,,
15,Phosphorus,P,30.973762,15,3,,0.67,0.51,1.0,5,8,1.05,1.8,5,2.19,MNDO AM1 PM3 MNDOD MNDONMR,,
16,Sulfur,S,32.066,16,3,,0.545,0.545,0.0,6,8,1.02,1.8,4,2.58,MNDO AM1 PM3 MNDOD PDDG-PM3 MNDONMR,,
17,Chlorine,Cl,35.4527,17,3,,0.0,1.0,1.0,7,8,0.99,1.75,1,3.16,MNDO AM1 PM3 MNDOD PDDG-PM3,,
18,Argon,Ar,39.948,18,3,,0.0,1.0,1.0,8,8,1.51,1.88,0,0.0,,,
19,Potassium,K,39.0983,1,4,,0.0,1.0,1.0,0,8,1.33,2.75,0,0.82,AM1 PM3,,
20,Calcium,Ca,40.078,2,4,,0.0,1.0,1.0,0,8,0.99,1.8,0,1.0,AM1 PM3,,
21,Scandium,Sc,44.95591,3,4,,0.0,1.0,1.0,0,8,1.44,1.8,0,1.36,,,
22,Titanium,Ti,47.867,4,4,,0.0,1.0,1.0,0,8,1.47,1.8,0,1.54,,,
23,Vanadium,V,50.9415,5,4,,0.0,1.0,1.0,0,8,1.33,1.8,0,1.63,,,
24,Chromium,Cr,51.9961,6,4,,0.0,1.0,1.0,0,8,1.35,1.8,0,1.66,,,
25,Manganese,Mn,54.93805,7,4,,0.0,1.0,1.0,0,8,1.35,1.8,0,1.55,,,
26,Iron,Fe,55.845,8,4,,0.0,1.0,1.0,0,8,1.34,1.8,0,1.83,,,
27,Cobalt,Co,58.9332,9,4,,0.0,1.0,1.0,0,8,1.33,1.8,0,1.88,,,
28,Nickel,Ni,58.6934,10,4,,0.0,1.0,1.0,0,8,1.5,1.63,0,1.91,,,
29,Copper,Cu,63.546,11,4,,0.0,1.0,1.0,4,8,1.52,1.4,0,1.90,,,
30,Zinc,Zn,65.39,12,4,,0.0,1.0,1.0,4,8,1.45,1.39,0,1.65,MNDO AM1 PM3 MNDOD,,
31,Gallium,Ga,69.723,13,4,,0.0,1.0,1.0,0,8,1.22,1.87,0,1.81,PM3,,
32,Germanium,Ge,72.61,14,4,,0.0,1.0,1.0,0,8,1.17,2.0,4,2.01,MNDO AM1 PM3,,
33,Arsenic,As,74.92159,15,4,,0.0,1.0,1.0,0,8,1.21,1.85,5,2.18,PM3,,
34,Selenium,Se,78.96,16,4,,0.0,1.0,1.0,6,8,1.22,1.9,6,2.55,PM3,,
35,Bromine,Br,79.904,17,4,,0.0,1.0,1.0,7,8,1.21,1.85,1,2.96,MNDO AM1 PM3 MNDOD PDDG-PM3,,
36,Krypton,Kr,83.8,18,4,,0.0,1.0,1.0,0,8,1.5,2.02,0,3.00,,,
